"","services_changes","services_changes_SA","services_rate","services_rate_SA"
"1",9333.33333333333,9335.61657007,0.0666666666666666,0.0852203469965088
"2",9333.33333333333,9335.61657007,0.0666666666666666,0.0852203469965088
"3",9333.33333333333,9335.61657007,0.0666666666666666,0.0852203469965088
"4",8133.33333333333,8934.05148660719,0.0777777777777778,0.0800657743519064
"5",8133.33333333333,8934.05148660719,0.0777777777777778,0.0800657743519064
"6",8133.33333333333,8934.05148660719,0.0777777777777778,0.0800657743519064
"7",8633.33333333333,9656.76027116751,0.1,0.086601248984347
"8",8633.33333333333,9656.76027116751,0.1,0.086601248984347
"9",8633.33333333333,9656.76027116751,0.1,0.086601248984347
"10",11466.6666666667,9623.09166245539,0.1,0.0925292372666217
"11",11466.6666666667,9623.09166245539,0.1,0.0925292372666217
"12",11466.6666666667,9623.09166245539,0.1,0.0925292372666217
"13",11233.3333333333,11246.070555079,0.0777777777777778,0.0962925821624562
"14",11233.3333333333,11246.070555079,0.0777777777777778,0.0962925821624562
"15",11233.3333333333,11246.070555079,0.0777777777777778,0.0962925821624562
"16",12266.6666666667,13084.6298019478,0.111111111111111,0.113410352200715
"17",12266.6666666667,13084.6298019478,0.111111111111111,0.113410352200715
"18",12266.6666666667,13084.6298019478,0.111111111111111,0.113410352200715
"19",11366.6666666667,12393.137717216,0.122222222222222,0.109021198407993
"20",11366.6666666667,12393.137717216,0.122222222222222,0.109021198407993
"21",11366.6666666667,12393.137717216,0.122222222222222,0.109021198407993
"22",12833.3333333333,10958.6808160392,0.1,0.0923641413598745
"23",12833.3333333333,10958.6808160392,0.1,0.0923641413598745
"24",12833.3333333333,10958.6808160392,0.1,0.0923641413598745
"25",15500,15523.5745189553,0.0888888888888889,0.107361921389105
"26",15500,15523.5745189553,0.0888888888888889,0.107361921389105
"27",15500,15523.5745189553,0.0888888888888889,0.107361921389105
"28",12766.6666666667,13601.5780511727,0.1,0.10230790354044
"29",12766.6666666667,13601.5780511727,0.1,0.10230790354044
"30",12766.6666666667,13601.5780511727,0.1,0.10230790354044
"31",11433.3333333333,12461.9623869202,0.111111111111111,0.0981042575855007
"32",11433.3333333333,12461.9623869202,0.111111111111111,0.0981042575855007
"33",11433.3333333333,12461.9623869202,0.111111111111111,0.0981042575855007
"34",5766.66666666667,3860.68663629505,0.0777777777777778,0.0699709243371032
"35",5766.66666666667,3860.68663629505,0.0777777777777778,0.0699709243371032
"36",5766.66666666667,3860.68663629505,0.0777777777777778,0.0699709243371032
"37",2800,2826.1506222203,0.0222222222222222,0.040646029480953
"38",2800,2826.1506222203,0.0222222222222222,0.040646029480953
