"","food_changes","food_changes_SA","food_rate","food_rate_SA"
"1",1100,3164.02316658412,0.399999999999999,0.894816256846042
"2",1500,2910.95818750596,0.7,0.902573307310645
"3",1200,2010.76607116814,0.3,0.417630719655022
"4",8700,4385.04936877591,1.4,0.582865504664705
"5",1800,3885.42434821295,0.3,0.795386382565602
"6",4600,6064.15207120651,0.600000000000001,0.806422027973064
"7",2500,3274.69365983358,0.5,0.616310758163454
"8",7400,3037.14644857751,1.2,0.379969136300107
"9",3400,5508.74125809248,0.399999999999999,0.89581435556743
"10",2800,4314.88310989194,0.4,0.610075232815718
"11",4200,4930.29458574631,0.5,0.614722445981851
"12",6400,1976.99889368706,1.2,0.376770149274793
"13",-2600,-432.006679921781,-0.8,-0.303276514352275
"14",-1600,63.4576597264054,-0.5,-0.282202885983883
"15",400,1003.04644583562,0.2,0.308888853082893
"16",6100,1559.44990486089,0.9,0.0729224212083909
"17",3200,5443.15125285281,-0.3,0.197852468031108
"18",1000,2825.80690391604,0.600000000000001,0.825159580267757
"19",2400,2885.6681922607,0.4,0.501857978098092
"20",9000,4347.20893372866,1.4,0.567116629484345
"21",300,2615.01385402117,0.2,0.703431040911562
"22",600,2512.58336937999,0.5,0.739522499519494
"23",2900,3274.65608618766,0.5,0.592214875791034
"24",6400,1759.38695408758,1.5,0.655506301527281
"25",-2400,-33.0910210085626,-0.2,0.311347715530462
"26",-800,1194.8974272755,-0.3,-0.0405496680136735
"27",1800,2080.34251554807,0,0.0918982398802048
"28",8600,4005.03016980803,1.4,0.555496686769947
"29",-900,1410.45331057354,0,0.46545226812661
"30",100,2037.51949560754,0.399999999999999,0.659323731648267
"31",1300,1498.85487801339,0.5,0.595345473353738
"32",7000,2687.12212170461,1.5,0.729039230159682
"33",900,3121.55063348829,0,0.406585215554584
"34",800,2651.87390296787,0,0.247799479817277
"35",2400,2500.29095989171,0.5,0.590866335113138
"36",6100,2063.26249072094,1.3,0.598293975925174
"37",-1000,1127.91240387313,0,0.367545935176319
"38",0,1785.10086439841,0.2,0.439353039030427
"39",1500,1533.62493732038,0.4,0.477675333513913
"40",4700,855.997160119582,1.2,0.544521072870468
"41",-100,1946.86428377234,0.2,0.534236602801549
"42",-100,1624.23820414537,0.2,0.433753524033788
"43",800,763.676514392552,0.0999999999999996,0.16376739496064
"44",4700,1037.68390935327,0.8,0.18734388385265
"45",-300,1703.23616629365,0.1,0.418778233537313
"46",-400,1289.82937372504,0,0.229372481008066
"47",1200,1135.80670933104,0.1,0.158251821323693
"48",2900,-685.842840600319,0.4,-0.194856151181606
"49",-1100,869.600816108569,0.4,0.7059408737663
"50",-1600,64.4469204480529,0.4,0.627295887373814
"51",1000,912.943786869136,0.4,0.453982622919064
"52",3000,-508.447958163646,0.6,0.0231758935506164
"53",300,2239.87563229325,0.4,0.695270996094817
"54",400,2045.34737038916,0.300000000000001,0.524718713821601
"55",1700,1594.5498731422,0.7,0.750916719508542
"56",2700,-746.205398632758,0.8,0.238509877415317
